suit,tier,effect_kind,effect,param
公式,—,装备同色加成,每件 +1.3,1.3
公式,—,特性同色加成,每张 +0.8,0.8
公式,—,出牌同色加成,每张 +0.3（cap 30）,0.3
公式,—,大招亲和消耗,每次 -8（持久跨战）,8
公式,—,T1 阈值,亲和 ≥ 5,5
公式,—,T2 阈值,亲和 ≥ 10,10
公式,—,T3 阈值,亲和 ≥ 15,15
公式,—,亲和封顶,20 / 色,20
公式,—,大招本场限次,每色 1 次,1
♠ 黑桃,T1,攻击倍率,×1.10,1.10
♠ 黑桃,T1,暴击率,5%（中毒 -3%/层 cap -30%）,5
♠ 黑桃,T1,Keyword 锐利,♠ 攻击 +1 pierce,1
♠ 黑桃,T2,破甲加成,pierce += ceil(楼层/3),—
♠ 黑桃,T3 大招,狂战之击,当前目标 50% 真实伤害（无视护甲）,50
♦ 方块,T1,受击反弹,3 HP,3
♦ 方块,T1,闪避加成,+5% 闪避,5
♦ 方块,T2,破甲加成,pierce += 3（v5 新增）,3
♦ 方块,T3 大招,影舞步,本回合 100% 闪避 + 三连击 + 敌人停顿,—
♥ 红心,T1,吸血,所有攻击 8% lifesteal,8
♥ 红心,T1,生机,每回合开始 +2 HP,2
♥ 红心,T1,Keyword 贪婪,♥ 攻击额外 +5% 吸血,5
♥ 红心,T2,绝境攻击,HP < 25% 时攻击 +30%,30
♥ 红心,T2,绝境减伤,HP < 50% 时受击 ×0.7,30
♥ 红心,T3 大招,生命洪流,HP +50% maxHP + maxHP +3 永久,50
♣ 梅花,T1,受击减伤,-2,2
♣ 梅花,T1,Keyword 守序,♣ 出牌 +1 临时护盾,1
♣ 梅花,T2,受击再减,-3（共 -5）,3
♣ 梅花,T3 大招,群体禁咒,全敌 沉默 3 回 + 易伤 3 层 3 回 + 中毒 3,—
